127.0.0.1, 2023-12-06 22:53:53, GET, /admin/default/site, HTTP/1.1, 200, 0.377990
127.0.0.1, 2023-12-06 22:53:53, GET, /admin/static/_2.27.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2023-12-06 22:53:53, GET, /admin/static/_2.27.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-12-06 22:53:53, GET, /admin/static/_2.27.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001996
127.0.0.1, 2023-12-06 22:53:53, GET, /admin/static/_2.27.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001994
127.0.0.1, 2023-12-06 22:53:53, GET, /admin/static/_2.27.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.002992
127.0.0.1, 2023-12-06 22:53:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-12-06 22:53:56, GET, /SIP/default/index, HTTP/1.1, 500, 0.434631
127.0.0.1, 2023-12-06 22:53:57, GET, /admin/default/ticket/SIP/127.0.0.1.2023-12-06.22-53-55.11da5763-d329-4951-bfbc-9fb6e6514a10, HTTP/1.1, 200, 0.061802
127.0.0.1, 2023-12-06 22:53:57, GET, /admin/static/_2.27.1/images/help.png, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-12-06 22:56:19, GET, /, HTTP/1.1, 303, 0.004987
127.0.0.1, 2023-12-06 22:56:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.133586
127.0.0.1, 2023-12-06 22:56:19, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000998
127.0.0.1, 2023-12-06 22:56:23, GET, /admin/default/site, HTTP/1.1, 200, 0.322138
127.0.0.1, 2023-12-06 22:56:25, GET, /SIP/default/index, HTTP/1.1, 500, 0.231011
127.0.0.1, 2023-12-06 22:56:27, GET, /admin/default/ticket/SIP/127.0.0.1.2023-12-06.22-56-24.25bcbd3d-9863-484e-a0b5-e3b92f2e5b8b, HTTP/1.1, 200, 0.055852
127.0.0.1, 2023-12-06 22:56:59, GET, /SIP/default/index, HTTP/1.1, 500, 0.019946
127.0.0.1, 2023-12-06 22:57:02, GET, /admin/default/ticket/SIP/127.0.0.1.2023-12-06.22-56-59.4d37787d-b277-4fa5-84ce-7c6fa314428c, HTTP/1.1, 200, 0.035902
127.0.0.1, 2023-12-06 22:57:02, GET, /admin/static/_2.27.1/css/calendar.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2023-12-06 22:58:27, GET, /, HTTP/1.1, 303, 0.003989
127.0.0.1, 2023-12-06 22:58:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.130682
127.0.0.1, 2023-12-06 22:58:27, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-12-06 22:58:27, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2023-12-06 22:58:27, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002992
127.0.0.1, 2023-12-06 22:58:27, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2023-12-06 22:58:27, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-12-06 22:58:30, GET, /admin/default/site, HTTP/1.1, 200, 0.301196
127.0.0.1, 2023-12-06 22:58:30, GET, /admin/static/_2.27.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2023-12-06 22:58:32, GET, /SIP/default/index, HTTP/1.1, 500, 0.220603
127.0.0.1, 2023-12-06 22:58:33, GET, /admin/default/ticket/SIP/127.0.0.1.2023-12-06.22-58-31.41dec9c0-f52e-48c6-bad0-ef3039e352ec, HTTP/1.1, 200, 0.068814
127.0.0.1, 2023-12-06 22:58:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-12-06 23:02:17, GET, /admin/default/site, HTTP/1.1, 200, 0.022939
127.0.0.1, 2023-12-06 23:02:19, GET, /SIP/default/index, HTTP/1.1, 200, 0.119521
127.0.0.1, 2023-12-06 23:02:19, GET, /SIP/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000995
127.0.0.1, 2023-12-06 23:02:19, GET, /SIP/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001004
127.0.0.1, 2023-12-06 23:02:19, GET, /SIP/static/js/calendar.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-12-06 23:02:19, GET, /SIP/static/js/jquery.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2023-12-06 23:02:19, GET, /SIP/static/css/calendar.css, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-12-06 23:02:19, GET, /SIP/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002992
127.0.0.1, 2023-12-06 23:02:19, GET, /SIP/static/js/web2py.js, HTTP/1.1, 200, 0.002992
127.0.0.1, 2023-12-06 23:02:19, GET, /SIP/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.003989
127.0.0.1, 2023-12-06 23:02:19, GET, /SIP/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2023-12-06 23:02:19, GET, /SIP/static/images/favicon.png, HTTP/1.1, 200, 0.001994
127.0.0.1, 2023-12-06 23:02:19, GET, /SIP/static/images/favicon.ico, HTTP/1.1, 200, 0.000996
127.0.0.1, 2023-12-06 23:04:02, GET, /SIP/default/index, HTTP/1.1, 500, 0.017361
127.0.0.1, 2023-12-06 23:04:04, GET, /admin/default/ticket/SIP/127.0.0.1.2023-12-06.23-04-02.46caf633-78aa-435a-bc7e-0d4015bd98d7, HTTP/1.1, 200, 0.051861
127.0.0.1, 2023-12-06 23:05:46, GET, /SIP/default/index, HTTP/1.1, 200, 0.028921
